concurso,data
1,18/02/2002
2,25/02/2002
3,04/03/2002
4,11/03/2002
5,18/03/2002
6,25/03/2002
7,01/04/2002
8,08/04/2002
8,08/04/2002
10,22/04/2002
11,29/04/2002
12,06/05/2002
13,13/05/2002
13,13/05/2002
13,13/05/2002
16,06/06/2002
17,11/06/2002
18,14/06/2002
19,18/06/2002
19,18/06/2002
19,18/06/2002
22,11/07/2002
23,15/07/2002
24,22/07/2002
25,30/07/2002
26,05/08/2002
26,05/08/2002
28,19/08/2002
29,26/08/2002
30,02/09/2002
31,09/09/2002
32,16/09/2002
33,23/09/2002
34,30/09/2002
34,30/09/2002
36,14/10/2002
37,21/10/2002
38,28/10/2002
39,04/11/2002
40,11/11/2002
41,18/11/2002
42,25/11/2002
43,02/12/2002
44,09/12/2002
45,16/12/2002
46,23/12/2002
47,13/01/2003
48,20/01/2003
49,27/01/2003
50,03/02/2003
50,03/02/2003
52,17/02/2003
53,24/02/2003
54,06/03/2003
55,10/03/2003
56,17/03/2003
57,24/03/2003
58,31/03/2003
59,07/04/2003
60,14/04/2003
61,22/04/2003
62,28/04/2003
63,05/05/2003
63,05/05/2003
65,19/05/2003
66,26/05/2003
66,26/05/2003
68,09/06/2003
69,16/06/2003
70,23/06/2003
71,30/06/2003
72,07/07/2003
73,14/07/2003
74,21/07/2003
75,28/07/2003
76,04/08/2003
77,11/08/2003
78,18/08/2003
79,25/08/2003
80,01/09/2003
81,08/09/2003
82,15/09/2003
83,22/09/2003
84,29/09/2003
85,06/10/2003
86,13/10/2003
87,20/10/2003
88,27/10/2003
89,03/11/2003
90,10/11/2003
90,10/11/2003
90,10/11/2003
90,10/11/2003
90,10/11/2003
95,05/01/2004
96,12/01/2004
97,26/01/2004
98,02/02/2004
99,09/02/2004
100,16/02/2004
101,25/02/2004
102,01/03/2004
103,08/03/2004
104,15/03/2004
104,15/03/2004
106,29/03/2004
107,05/04/2004
108,12/04/2004
108,12/04/2004
110,26/04/2004
111,03/05/2004
112,10/05/2004
113,17/05/2004
114,24/05/2004
115,31/05/2004
116,07/06/2004
117,14/06/2004
117,14/06/2004
119,28/06/2004
120,05/07/2004
121,12/07/2004
122,19/07/2004
123,26/07/2004
123,26/07/2004
125,09/08/2004
126,16/08/2004
126,16/08/2004
126,16/08/2004
129,06/09/2004
130,13/09/2004
131,20/09/2004
132,27/09/2004
133,04/10/2004
134,11/10/2004
135,18/10/2004
136,25/10/2004
137,01/11/2004
138,08/11/2004
138,08/11/2004
140,22/11/2004
140,22/11/2004
142,06/12/2004
143,13/12/2004
143,13/12/2004
143,13/12/2004
146,17/01/2005
147,24/01/2005
148,31/01/2005
149,09/02/2005
150,14/02/2005
150,14/02/2005
152,01/03/2005
153,07/03/2005
153,07/03/2005
155,21/03/2005
156,28/03/2005
156,28/03/2005
158,11/04/2005
159,18/04/2005
160,25/04/2005
161,02/05/2005
162,09/05/2005
163,16/05/2005
164,23/05/2005
165,30/05/2005
165,30/05/2005
167,13/06/2005
168,20/06/2005
169,27/06/2005
170,04/07/2005
170,04/07/2005
170,04/07/2005
173,25/07/2005
174,01/08/2005
175,08/08/2005
176,15/08/2005
177,22/08/2005
178,29/08/2005
179,05/09/2005
180,12/09/2005
181,19/09/2005
182,26/09/2005
183,03/10/2005
184,10/10/2005
185,17/10/2005
186,24/10/2005
187,31/10/2005
188,07/11/2005
189,14/11/2005
190,21/11/2005
191,28/11/2005
191,28/11/2005
193,12/12/2005
194,19/12/2005
194,19/12/2005
196,16/01/2006
197,23/01/2006
198,30/01/2006
199,06/02/2006
200,13/02/2006
200,13/02/2006
202,01/03/2006
203,06/03/2006
204,13/03/2006
205,20/03/2006
206,27/03/2006
206,27/03/2006
208,10/04/2006
209,17/04/2006
209,17/04/2006
211,02/05/2006
212,08/05/2006
212,08/05/2006
214,22/05/2006
214,22/05/2006
216,05/06/2006
217,14/06/2006
218,22/06/2006
219,27/06/2006
220,03/07/2006
220,03/07/2006
220,03/07/2006
223,24/07/2006
224,31/07/2006
225,07/08/2006
226,14/08/2006
227,21/08/2006
228,28/08/2006
229,04/09/2006
229,04/09/2006
231,18/09/2006
232,25/09/2006
233,05/10/2006
234,09/10/2006
235,16/10/2006
236,23/10/2006
237,30/10/2006
238,06/11/2006
239,13/11/2006
240,20/11/2006
241,27/11/2006
242,04/12/2006
242,04/12/2006
244,18/12/2006
245,26/12/2006
245,26/12/2006
247,15/01/2007
247,15/01/2007
249,29/01/2007
250,05/02/2007
250,05/02/2007
250,05/02/2007
253,26/02/2007
254,05/03/2007
255,12/03/2007
256,19/03/2007
256,19/03/2007
258,02/04/2007
259,09/04/2007
259,09/04/2007
261,23/04/2007
262,02/05/2007
262,02/05/2007
262,02/05/2007
265,21/05/2007
266,28/05/2007
266,28/05/2007
268,11/06/2007
269,18/06/2007
270,25/06/2007
271,02/07/2007
272,09/07/2007
273,16/07/2007
274,23/07/2007
275,30/07/2007
276,06/08/2007
277,13/08/2007
278,20/08/2007
279,27/08/2007
280,03/09/2007
281,10/09/2007
282,17/09/2007
282,17/09/2007
284,01/10/2007
285,08/10/2007
286,15/10/2007
286,15/10/2007
286,15/10/2007
289,05/11/2007
290,12/11/2007
291,19/11/2007
292,26/11/2007
292,26/11/2007
294,07/01/2008
294,07/01/2008
296,21/01/2008
297,28/01/2008
297,28/01/2008
299,11/02/2008
300,18/02/2008
301,25/02/2008
302,03/03/2008
303,10/03/2008
304,17/03/2008
305,24/03/2008
306,31/03/2008
307,07/04/2008
308,14/04/2008
309,22/04/2008
310,28/04/2008
311,05/05/2008
312,12/05/2008
313,19/05/2008
314,26/05/2008
315,02/06/2008
315,02/06/2008
317,16/06/2008
318,23/06/2008
318,23/06/2008
320,07/07/2008
321,14/07/2008
322,21/07/2008
323,28/07/2008
324,04/08/2008
324,04/08/2008
324,04/08/2008
324,04/08/2008
324,04/08/2008
329,08/09/2008
330,15/09/2008
331,22/09/2008
332,29/09/2008
333,06/10/2008
334,13/10/2008
335,20/10/2008
336,27/10/2008
337,03/11/2008
338,10/11/2008
339,17/11/2008
340,24/11/2008
341,01/12/2008
342,08/12/2008
343,15/12/2008
344,05/01/2009
345,12/01/2009
346,19/01/2009
347,26/01/2009
348,02/02/2009
349,09/02/2009
350,16/02/2009
350,16/02/2009
352,02/03/2009
353,09/03/2009
353,09/03/2009
353,09/03/2009
356,30/03/2009
357,06/04/2009
358,13/04/2009
359,20/04/2009
360,27/04/2009
360,27/04/2009
362,11/05/2009
362,11/05/2009
364,25/05/2009
365,01/06/2009
366,08/06/2009
367,15/06/2009
368,22/06/2009
369,29/06/2009
370,06/07/2009
